seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1614.3  4385.7   1.5037  2.1311  0.0627 0.0998 +- 0.0050  1.5918 +- 0.1701
   3    1  1634.9  4365.1   1.5808  2.1311  0.0578 0.0968 +- 0.0050  1.6755 +- 0.2006
   3    2  1666.1  4333.9   0.5827  2.1311  0.0580 0.0352 +- 0.0029  0.6078 +- 0.0311
   4    1  1600.4  4399.6   1.7607  2.1311  0.0596 0.1127 +- 0.0054  1.8904 +- 0.2803
   4    2  1637.9  4362.1   1.7618  2.1311  0.0556 0.1042 +- 0.0052  1.8737 +- 0.2993
   4    3  1656.7  4343.3   1.4785  2.1311  0.0652 0.0993 +- 0.0050  1.5244 +- 0.1499
   5    1  1628.3  4371.7   1.7481  2.1311  0.0611 0.1127 +- 0.0054  1.8445 +- 0.2785
   5    2  1659.4  4340.6   1.5076  2.1311  0.0672 0.1038 +- 0.0052  1.5456 +- 0.1541
   5    3  1679.0  4321.0   1.4467  2.1311  0.0682 0.1000 +- 0.0051  1.4658 +- 0.1273
   5    4  1651.1  4348.9   1.1075  2.1311  0.0762 0.0852 +- 0.0046  1.1173 +- 0.0691
   6    1  1741.0  4259.0   1.5713  2.1311  0.0872 0.1298 +- 0.0059  1.4876 +- 0.0833
   6    2  1719.0  4281.0   1.9557  2.1311  0.0604 0.1194 +- 0.0056  1.9780 +- 0.4008
   6    3  1732.4  4267.6   2.0021  2.1311  0.0571 0.1156 +- 0.0055  2.0266 +- 0.4407
   6    4  1721.8  4278.2   1.8803  2.1311  0.0566 0.1083 +- 0.0053  1.9149 +- 0.3437
   6    5  1726.1  4273.9   1.7345  2.1311  0.0625 0.1088 +- 0.0054  1.7404 +- 0.2468
   7    1  1742.3  4257.7   1.4720  2.1311  0.0950 0.1303 +- 0.0059  1.3713 +- 0.0720
   7    2  1719.1  4280.9   1.8112  2.1311  0.0646 0.1173 +- 0.0056  1.8152 +- 0.2913
   7    3  1731.6  4268.4   1.6110  2.1311  0.0748 0.1175 +- 0.0056  1.5711 +- 0.1756
   7    4  1721.3  4278.7   1.8054  2.1311  0.0607 0.1106 +- 0.0054  1.8228 +- 0.2937
   7    5  1725.8  4274.2   1.8365  2.1311  0.0600 0.1111 +- 0.0054  1.8530 +- 0.3136
   7    6  1595.2  4404.8   0.8425  2.1311  0.1232 0.0971 +- 0.0050  0.7881 +- 0.0434
