seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1615.6  4384.4   1.4993  2.1474  0.0630 0.0999 +- 0.0050  1.5850 +- 0.1678
   3    1  1636.2  4363.8   1.5754  2.1474  0.0581 0.0968 +- 0.0050  1.6674 +- 0.1974
   3    2  1667.7  4332.3   0.5824  2.1474  0.0581 0.0353 +- 0.0029  0.6068 +- 0.0311
   4    1  1601.7  4398.3   1.7529  2.1474  0.0600 0.1127 +- 0.0054  1.8792 +- 0.2741
   4    2  1639.4  4360.6   1.7526  2.1474  0.0560 0.1042 +- 0.0052  1.8608 +- 0.2917
   4    3  1658.1  4341.9   1.4744  2.1474  0.0655 0.0994 +- 0.0050  1.5181 +- 0.1480
   5    1  1629.6  4370.4   1.7405  2.1474  0.0615 0.1128 +- 0.0054  1.8336 +- 0.2726
   5    2  1660.9  4339.1   1.5034  2.1474  0.0675 0.1038 +- 0.0052  1.5392 +- 0.1521
   5    3  1680.5  4319.5   1.4433  2.1474  0.0685 0.1001 +- 0.0051  1.4605 +- 0.1260
   5    4  1652.5  4347.5   1.1062  2.1474  0.0764 0.0852 +- 0.0046  1.1147 +- 0.0687
   6    1  1701.1  4298.9   2.3702  2.1474  0.0813 0.1880 +- 0.0073  2.3115 +- 0.7669
   6    2  1685.7  4314.3   2.0933  2.1474  0.0861 0.1753 +- 0.0070  2.0350 +- 0.4611
   6    3  1700.3  4299.7   1.7656  2.1474  0.1067 0.1745 +- 0.0070  1.6356 +- 0.2086
   6    4  1688.3  4311.7   1.5603  2.1474  0.1199 0.1697 +- 0.0069  1.4151 +- 0.1307
   6    5  1693.4  4306.6   1.4833  2.1474  0.1219 0.1631 +- 0.0067  1.3372 +- 0.1138
   7    1  1709.2  4290.8   2.0680  2.1474  0.1028 0.1978 +- 0.0076  1.9233 +- 0.3520
   7    2  1694.7  4305.3   1.5455  2.1474  0.1341 0.1825 +- 0.0072  1.3603 +- 0.1208
   7    3  1708.0  4292.0   1.4757  2.1474  0.1405 0.1794 +- 0.0071  1.2771 +- 0.0984
   7    4  1695.4  4304.6   1.4669  2.1474  0.1409 0.1796 +- 0.0071  1.2745 +- 0.0983
   7    5  1701.7  4298.3   1.4260  2.1474  0.1395 0.1729 +- 0.0070  1.2393 +- 0.0967
   7    6  1588.8  4411.2   0.9481  2.1474  0.2958 0.1938 +- 0.0074  0.6553 +- 0.0344
