seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1625.8  4374.2   1.4678  2.2764  0.0652 0.1001 +- 0.0050  1.5362 +- 0.1522
   3    1  1646.5  4353.5   1.5369  2.2764  0.0603 0.0971 +- 0.0050  1.6102 +- 0.1761
   3    2  1679.4  4320.6   0.5800  2.2764  0.0590 0.0354 +- 0.0029  0.5997 +- 0.0306
   4    1  1611.5  4388.5   1.6993  2.2764  0.0627 0.1130 +- 0.0054  1.8012 +- 0.2347
   4    2  1650.7  4349.3   1.6902  2.2764  0.0590 0.1046 +- 0.0052  1.7724 +- 0.2445
   4    3  1669.5  4330.5   1.4451  2.2764  0.0677 0.0997 +- 0.0051  1.4727 +- 0.1353
   5    1  1639.6  4360.4   1.6876  2.2764  0.0643 0.1131 +- 0.0054  1.7580 +- 0.2344
   5    2  1672.2  4327.8   1.4733  2.2764  0.0698 0.1041 +- 0.0052  1.4926 +- 0.1389
   5    3  1691.9  4308.1   1.4189  2.2764  0.0706 0.1004 +- 0.0051  1.4218 +- 0.1169
   5    4  1663.5  4336.5   1.0961  2.2764  0.0780 0.0854 +- 0.0046  1.0952 +- 0.0662
   6    1  1781.9  4218.1   1.5159  2.2764  0.0515 0.0781 +- 0.0045  1.5167 +- 0.0853
   6    2  1750.7  4249.3   1.3482  2.2764  0.0530 0.0723 +- 0.0043  1.3646 +- 0.0712
   6    3  1764.0  4236.0   2.4247  2.2764  0.0266 0.0688 +- 0.0042  2.5838 +- 1.3379
   6    4  1755.6  4244.4   1.2957  2.2764  0.0436 0.0582 +- 0.0038  1.3355 +- 0.0686
   6    5  1757.8  4242.2   1.7919  2.2764  0.0318 0.0602 +- 0.0039  1.8935 +- 0.3373
   7    1  1779.9  4220.1   1.4097  2.2764  0.0595 0.0826 +- 0.0046  1.3882 +- 0.0728
   7    2  1754.1  4245.9   2.0103  2.2764  0.0353 0.0745 +- 0.0044  2.1118 +- 0.5222
   7    3  1766.5  4233.5   1.8968  2.2764  0.0361 0.0713 +- 0.0043  1.9765 +- 0.4025
   7    4  1756.6  4243.4   1.8145  2.2764  0.0325 0.0623 +- 0.0040  1.9154 +- 0.3487
   7    5  1760.7  4239.3   2.2443  2.2764  0.0255 0.0613 +- 0.0039  2.4018 +- 0.9505
   7    6  1615.0  4385.0   0.7256  2.2764  0.0255 0.0214 +- 0.0022  0.8403 +- 0.0477
