seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1622.3  4377.7   1.4782  2.2312  0.0644 0.1000 +- 0.0050  1.5524 +- 0.1572
   3    1  1643.0  4357.0   1.5495  2.2312  0.0595 0.0970 +- 0.0050  1.6290 +- 0.1828
   3    2  1675.3  4324.7   0.5808  2.2312  0.0587 0.0353 +- 0.0029  0.6022 +- 0.0307
   4    1  1608.1  4391.9   1.7166  2.2312  0.0618 0.1129 +- 0.0054  1.8265 +- 0.2468
   4    2  1646.8  4353.2   1.7102  2.2312  0.0580 0.1045 +- 0.0052  1.8009 +- 0.2588
   4    3  1665.6  4334.4   1.4548  2.2312  0.0669 0.0996 +- 0.0051  1.4878 +- 0.1394
   5    1  1636.2  4363.8   1.7048  2.2312  0.0634 0.1129 +- 0.0054  1.7826 +- 0.2462
   5    2  1668.3  4331.7   1.4833  2.2312  0.0690 0.1040 +- 0.0052  1.5081 +- 0.1431
   5    3  1688.0  4312.0   1.4270  2.2312  0.0699 0.1003 +- 0.0051  1.4347 +- 0.1199
   5    4  1659.7  4340.3   1.0995  2.2312  0.0775 0.0853 +- 0.0046  1.1018 +- 0.0670
   6    1  1778.0  4222.0   1.5367  2.2312  0.0471 0.0732 +- 0.0043  1.5547 +- 0.0896
   6    2  1746.7  4253.3   1.3388  2.2312  0.0493 0.0674 +- 0.0041  1.3688 +- 0.0717
   6    3  1759.9  4240.1   2.1156  2.2312  0.0284 0.0639 +- 0.0040  2.2503 +- 0.6825
   6    4  1751.5  4248.5   1.3177  2.2312  0.0407 0.0557 +- 0.0037  1.3694 +- 0.0717
   6    5  1753.8  4246.2   1.7842  2.2312  0.0290 0.0552 +- 0.0037  1.9010 +- 0.3392
   7    1  1778.9  4221.1   1.3947  2.2312  0.0565 0.0782 +- 0.0045  1.3826 +- 0.0723
   7    2  1752.3  4247.7   2.0435  2.2312  0.0326 0.0704 +- 0.0042  2.1617 +- 0.5771
   7    3  1764.6  4235.4   1.8643  2.2312  0.0342 0.0668 +- 0.0041  1.9527 +- 0.3822
   7    4  1754.8  4245.2   1.8994  2.2312  0.0289 0.0585 +- 0.0038  2.0234 +- 0.4294
   7    5  1759.1  4240.9   2.2820  2.2312  0.0233 0.0573 +- 0.0038  2.4562 +- 1.0668
   7    6  1611.7  4388.3   0.7119  2.2312  0.0167 0.0141 +- 0.0018  0.8450 +- 0.0480
