seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1499.9  4500.1   1.6698  1.9590  0.0469 0.0916 +- 0.0047  1.9517 +- 0.4006
   3    1  1492.3  4507.7   1.6382  1.9590  0.0466 0.0896 +- 0.0047  1.9247 +- 0.3695
   3    2  1539.7  4460.3   0.5471  1.9590  0.0560 0.0342 +- 0.0028  0.6114 +- 0.0324
   4    1  1504.9  4495.1   1.3949  1.9590  0.0691 0.1062 +- 0.0051  1.5365 +- 0.0952
   4    2  1550.9  4449.1   1.8541  1.9590  0.0495 0.1037 +- 0.0051  2.0937 +- 0.4838
   4    3  1545.3  4454.7   1.9742  1.9590  0.0479 0.1075 +- 0.0052  2.2453 +- 0.6654
   5    1  1483.3  4516.7   2.4705  1.9590  0.0321 0.0975 +- 0.0049  3.0341 +- 3.3782
   5    2  1534.1  4465.9   1.6515  1.9590  0.0532 0.0992 +- 0.0050  1.8644 +- 0.3117
   5    3  1528.0  4472.0   1.5450  1.9590  0.0579 0.1001 +- 0.0050  1.7292 +- 0.2411
   5    4  1539.0  4461.0   1.3163  1.9590  0.0476 0.0716 +- 0.0042  1.5031 +- 0.1679
   6    1  1520.0  4480.0   6.6746  1.9590  0.2030 1.1154 +- 0.0331  5.4949 +- 16.8932
   6    2  1461.2  4538.8   6.4083  1.9590  0.1947 1.0643 +- 0.0308  5.4653 +- 16.5637
   6    3  1468.3  4531.7   6.4192  1.9590  0.1940 1.0611 +- 0.0307  5.4689 +- 16.6037
   6    4  1465.3  4534.7   6.4110  1.9590  0.1940 1.0609 +- 0.0308  5.4673 +- 16.5866
   6    5  1478.0  4522.0   6.4693  1.9590  0.1959 1.0722 +- 0.0312  5.4738 +- 16.6581
   7    1  1520.3  4479.7   7.2561  1.9590  0.2502 1.3747 +- 0.0461  5.4950 +- 16.8945
   7    2  1461.0  4539.0   6.9273  1.9590  0.2366 1.2932 +- 0.0413  5.4652 +- 16.5623
   7    3  1468.3  4531.7   6.9572  1.9590  0.2374 1.2985 +- 0.0417  5.4689 +- 16.6038
   7    4  1465.7  4534.3   7.0324  1.9590  0.2441 1.3345 +- 0.0437  5.4676 +- 16.5889
   7    5  1477.9  4522.1   6.9979  1.9590  0.2386 1.3060 +- 0.0421  5.4738 +- 16.6578
   7    6   908.5  5091.5   4.8251  1.9590  0.1926 0.9838 +- 0.0278  5.1088 +- 13.0659
