seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1522.3  4477.7   1.5272  2.1864  0.0531 0.0921 +- 0.0048  1.7354 +- 0.2594
   3    1  1514.6  4485.4   1.5053  2.1864  0.0524 0.0901 +- 0.0047  1.7208 +- 0.2452
   3    2  1564.0  4436.0   0.5422  2.1864  0.0578 0.0344 +- 0.0028  0.5957 +- 0.0312
   4    1  1527.7  4472.3   1.3574  2.1864  0.0729 0.1068 +- 0.0052  1.4645 +- 0.0864
   4    2  1575.6  4424.4   1.6673  2.1864  0.0572 0.1043 +- 0.0051  1.8235 +- 0.2822
   4    3  1569.9  4430.1   1.7319  2.1864  0.0569 0.1081 +- 0.0052  1.9012 +- 0.3338
   5    1  1505.5  4494.5   1.8515  2.1864  0.0452 0.0980 +- 0.0049  2.1670 +- 0.5895
   5    2  1558.3  4441.7   1.5300  2.1864  0.0594 0.0998 +- 0.0050  1.6792 +- 0.2156
   5    3  1552.1  4447.9   1.4512  2.1864  0.0637 0.1008 +- 0.0050  1.5812 +- 0.1795
   5    4  1563.6  4436.4   1.2532  2.1864  0.0515 0.0720 +- 0.0042  1.3987 +- 0.1361
   6    1  1534.9  4465.1   6.4425  2.1864  0.5096 1.7233 +- 0.0719  3.3817 +- 1.0147
   6    2  1473.6  4526.4   5.8742  2.1864  0.5438 1.6235 +- 0.0630  2.9857 +- 0.6151
   6    3  1480.5  4519.5   7.6665  2.1864  0.2921 1.5991 +- 0.0610  5.4751 +- 16.6726
   6    4  1476.9  4523.1   5.4471  2.1864  0.6794 1.6268 +- 0.0633  2.3944 +- 0.2847
   6    5  1491.6  4508.4   5.8941  2.1864  0.5793 1.6642 +- 0.0665  2.8729 +- 0.5274
   7    1  1560.1  4439.9   7.2283  2.1864  0.9753 2.3937 +- 0.1721  2.4543 +- 0.2993
   7    2  1501.1  4498.9   6.6957  2.1864  0.7949 2.0965 +- 0.1238  2.6376 +- 0.3869
   7    3  1508.8  4491.2   6.4644  2.1864  0.9898 2.1492 +- 0.1274  2.1714 +- 0.2116
   7    4  1505.5  4494.5   6.9252  2.1864  1.0971 2.3608 +- 0.1829  2.1519 +- 0.2066
   7    5  1518.4  4481.6   6.5942  2.1864  0.9463 2.1670 +- 0.1303  2.2899 +- 0.2455
   7    6   951.9  5048.1   5.6680  2.1864  0.2480 1.2756 +- 0.0432  5.1439 +- 13.3739
