seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1506.0  4494.0   1.6234  2.0186  0.0488 0.0918 +- 0.0047  1.8822 +- 0.3484
   3    1  1498.4  4501.6   1.5954  2.0186  0.0483 0.0898 +- 0.0047  1.8598 +- 0.3242
   3    2  1546.4  4453.6   0.5457  2.0186  0.0565 0.0343 +- 0.0028  0.6071 +- 0.0320
   4    1  1511.1  4488.9   1.3841  2.0186  0.0702 0.1064 +- 0.0051  1.5160 +- 0.0926
   4    2  1557.6  4442.4   1.7911  2.0186  0.0518 0.1038 +- 0.0051  2.0036 +- 0.4041
   4    3  1552.0  4448.0   1.8881  2.0186  0.0507 0.1077 +- 0.0052  2.1246 +- 0.5223
   5    1  1489.4  4510.6   2.1712  2.0186  0.0373 0.0977 +- 0.0049  2.6199 +- 1.4667
   5    2  1540.7  4459.3   1.6130  2.0186  0.0550 0.0994 +- 0.0050  1.8063 +- 0.2776
   5    3  1534.6  4465.4   1.5160  2.0186  0.0596 0.1003 +- 0.0050  1.6840 +- 0.2203
   5    4  1545.7  4454.3   1.2974  2.0186  0.0487 0.0717 +- 0.0042  1.4721 +- 0.1577
   6    1  1546.2  4453.8   5.1298  2.0186  0.0711 0.3915 +- 0.0117  5.5077 +- 17.0377
   6    2  1486.9  4513.1   4.9375  2.0186  0.0699 0.3832 +- 0.0115  5.4783 +- 16.7083
   6    3  1494.0  4506.0   4.9584  2.0186  0.0699 0.3832 +- 0.0115  5.4819 +- 16.7481
   6    4  1492.5  4507.5   4.9316  2.0186  0.0681 0.3733 +- 0.0113  5.4812 +- 16.7398
   6    5  1501.8  4498.2   4.9567  2.0186  0.0679 0.3723 +- 0.0112  5.4858 +- 16.7918
   7    1  1535.1  4464.9   5.3652  2.0186  0.0930 0.5115 +- 0.0145  5.5023 +- 16.9768
   7    2  1474.9  4525.1   5.1497  2.0186  0.0900 0.4924 +- 0.0139  5.4723 +- 16.6410
   7    3  1482.6  4517.4   5.1849  2.0186  0.0910 0.4983 +- 0.0141  5.4762 +- 16.6841
   7    4  1480.0  4520.0   5.1523  2.0186  0.0890 0.4871 +- 0.0138  5.4749 +- 16.6697
   7    5  1490.2  4509.8   5.1843  2.0186  0.0891 0.4883 +- 0.0138  5.4800 +- 16.7269
   7    6   876.1  5123.9   3.3249  2.0186  0.0844 0.4289 +- 0.0117  5.0816 +- 12.8316
