seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1510.4  4489.6   1.5945  2.0620  0.0500 0.0919 +- 0.0047  1.8383 +- 0.3189
   3    1  1502.7  4497.3   1.5684  2.0620  0.0494 0.0899 +- 0.0047  1.8184 +- 0.2983
   3    2  1551.1  4448.9   0.5448  2.0620  0.0568 0.0343 +- 0.0028  0.6040 +- 0.0318
   4    1  1515.5  4484.5   1.3767  2.0620  0.0709 0.1065 +- 0.0052  1.5018 +- 0.0908
   4    2  1562.4  4437.6   1.7529  2.0620  0.0534 0.1040 +- 0.0051  1.9485 +- 0.3620
   4    3  1556.8  4443.2   1.8383  2.0620  0.0525 0.1078 +- 0.0052  2.0541 +- 0.4534
   5    1  1493.7  4506.3   2.0520  2.0620  0.0399 0.0978 +- 0.0049  2.4527 +- 1.0476
   5    2  1545.4  4454.6   1.5884  2.0620  0.0562 0.0995 +- 0.0050  1.7689 +- 0.2577
   5    3  1539.3  4460.7   1.4971  2.0620  0.0607 0.1004 +- 0.0050  1.6542 +- 0.2076
   5    4  1550.5  4449.5   1.2848  2.0620  0.0495 0.0718 +- 0.0042  1.4513 +- 0.1513
   6    1  1556.6  4443.4   4.9481  2.0620  0.0537 0.2959 +- 0.0096  5.5127 +- 17.0952
   6    2  1495.6  4504.4   4.7495  2.0620  0.0526 0.2883 +- 0.0094  5.4827 +- 16.7574
   6    3  1503.1  4496.9   4.7643  2.0620  0.0520 0.2851 +- 0.0093  5.4865 +- 16.7989
   6    4  1501.8  4498.2   4.7325  2.0620  0.0497 0.2726 +- 0.0090  5.4858 +- 16.7917
   6    5  1510.6  4489.4   4.7611  2.0620  0.0498 0.2737 +- 0.0091  5.4902 +- 16.8408
   7    1  1551.0  4449.0   5.1079  2.0620  0.0681 0.3754 +- 0.0114  5.5100 +- 17.0640
   7    2  1486.6  4513.4   4.9035  2.0620  0.0673 0.3685 +- 0.0112  5.4782 +- 16.7067
   7    3  1494.4  4505.6   4.9333  2.0620  0.0678 0.3716 +- 0.0112  5.4821 +- 16.7501
   7    4  1492.4  4507.6   4.8921  2.0620  0.0649 0.3559 +- 0.0109  5.4811 +- 16.7391
   7    5  1502.7  4497.3   4.9265  2.0620  0.0652 0.3577 +- 0.0110  5.4863 +- 16.7970
   7    6   857.0  5143.0  43.2283  2.0620  0.0032 0.3137 +- 0.0093 99.0000 +- 12.6910
