seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1534.1  4465.9   1.4737  2.3171  0.0559 0.0924 +- 0.0048  1.6521 +- 0.2194
   3    1  1526.4  4473.6   1.4546  2.3171  0.0551 0.0904 +- 0.0047  1.6410 +- 0.2089
   3    2  1576.8  4423.2   0.5398  2.3171  0.0588 0.0345 +- 0.0028  0.5878 +- 0.0306
   4    1  1539.7  4460.3   1.3397  2.3171  0.0749 0.1071 +- 0.0052  1.4299 +- 0.0824
   4    2  1588.6  4411.4   1.6015  2.3171  0.0607 0.1047 +- 0.0051  1.7256 +- 0.2323
   4    3  1582.9  4417.1   1.6538  2.3171  0.0607 0.1085 +- 0.0052  1.7868 +- 0.2656
   5    1  1517.1  4482.9   1.7302  2.3171  0.0494 0.0983 +- 0.0049  1.9904 +- 0.4133
   5    2  1571.1  4428.9   1.4823  2.3171  0.0624 0.1001 +- 0.0050  1.6048 +- 0.1861
   5    3  1564.9  4435.1   1.4126  2.3171  0.0665 0.1011 +- 0.0050  1.5189 +- 0.1587
   5    4  1576.5  4423.5   1.2257  2.3171  0.0534 0.0722 +- 0.0042  1.3522 +- 0.1240
   6    1  1553.6  4446.4  10.2664  2.3171  1.5731 3.7786 +- 1.0076  2.4020 +- 0.2803
   6    2  1487.9  4512.1   8.3853  2.3171  1.5756 3.0736 +- 0.3945  1.9507 +- 0.1609
   6    3  1495.7  4504.3   8.3040  2.3171  1.2921 2.9333 +- 0.3285  2.2701 +- 0.2412
   6    4  1491.3  4508.7   7.8851  2.3171  1.3270 2.7998 +- 0.2758  2.1099 +- 0.1968
   6    5  1507.3  4492.7   8.5611  2.3171  1.3946 3.0721 +- 0.3945  2.2028 +- 0.2204
   7    1  1572.1  4427.9  15.5033  2.3171  3.1675 6.2968 +- 28.8203  1.9879 +- 0.1641
   7    2  1512.4  4487.6  15.7837  2.3171  2.9216 6.3068 +- 29.0139  2.1587 +- 0.2080
   7    3  1520.2  4479.8  15.6982  2.3171  3.0439 6.3055 +- 28.9885  2.0715 +- 0.1856
   7    4  1516.6  4483.4  15.6465  2.3171  3.1664 6.3061 +- 29.0002  1.9916 +- 0.1679
   7    5  1530.1  4469.9  15.7390  2.3171  2.9226 6.3038 +- 28.9566  2.1569 +- 0.2063
   7    6   955.5  5044.5   5.2258  2.3171  0.7730 1.6641 +- 0.1045  2.1527 +- 0.2963
