seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1544.5  4455.5   1.7572  2.1734  0.0500 0.0994 +- 0.0050  1.9886 +- 0.4062
   3    1  1540.0  4460.0   1.5785  2.1734  0.0574 0.1009 +- 0.0050  1.7577 +- 0.2604
   3    2  1587.8  4412.2   0.5385  2.1734  0.0663 0.0380 +- 0.0030  0.5728 +- 0.0292
   4    1  1545.8  4454.2   1.3468  2.1734  0.0752 0.1077 +- 0.0052  1.4320 +- 0.0825
   4    2  1588.9  4411.1   1.9087  2.1734  0.0558 0.1161 +- 0.0055  2.0801 +- 0.4532
   4    3  1583.2  4416.8   1.7057  2.1734  0.0627 0.1150 +- 0.0054  1.8340 +- 0.2999
   5    1  1541.0  4459.0   1.9235  2.1734  0.0490 0.1072 +- 0.0052  2.1864 +- 0.5901
   5    2  1589.5  4410.5   1.8765  2.1734  0.0532 0.1095 +- 0.0053  2.0574 +- 0.4647
   5    3  1584.2  4415.8   1.6393  2.1734  0.0626 0.1103 +- 0.0053  1.7621 +- 0.2575
   5    4  1585.4  4414.6   1.2402  2.1734  0.0658 0.0871 +- 0.0047  1.3221 +- 0.1178
   6    1  1539.6  4460.4  16.2110  2.1734  2.2504 6.3022 +- 28.9256  2.8005 +- 0.4723
   6    2  1478.8  4521.2  15.9286  2.1734  2.8140 6.3124 +- 29.1223  2.2432 +- 0.2343
   6    3  1471.1  4528.9  15.8588  2.1734  2.9735 6.3137 +- 29.1469  2.1233 +- 0.2015
   6    4  1443.1  4556.9   9.9324  2.1734  1.8632 3.7260 +- 0.9283  1.9998 +- 0.1739
   6    5  1474.8  4525.2  15.7693  2.1734  3.1342 6.3131 +- 29.1351  2.0142 +- 0.1752
   7    1  1533.9  4466.1  15.7598  2.1734  2.8700 6.3032 +- 28.9442  2.1962 +- 0.2166
   7    2  1475.1  4524.9  15.7156  2.1734  3.2502 6.3130 +- 29.1342  1.9424 +- 0.1600
   7    3  1467.9  4532.1  15.7527  2.1734  3.2087 6.3142 +- 29.1573  1.9678 +- 0.1656
   7    4  1440.7  4559.3  15.7323  2.1734  3.4278 6.3187 +- 29.2446  1.8434 +- 0.1428
   7    5  1471.3  4528.7  15.9190  2.1734  2.8621 6.3136 +- 29.1462  2.2059 +- 0.2240
   7    6   921.4  5078.6   4.7505  2.1734  0.6782 1.4760 +- 0.0480  2.1762 +- 0.3408
