seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1531.2  4468.8   1.9019  2.0324  0.0451 0.0991 +- 0.0050  2.1951 +- 0.6164
   3    1  1526.6  4473.4   1.6577  2.0324  0.0536 0.1006 +- 0.0050  1.8769 +- 0.3310
   3    2  1572.8  4427.2   0.5412  2.0324  0.0651 0.0379 +- 0.0030  0.5816 +- 0.0299
   4    1  1532.3  4467.7   1.3668  2.0324  0.0730 0.1074 +- 0.0052  1.4709 +- 0.0869
   4    2  1573.9  4426.1   2.1007  2.0324  0.0493 0.1157 +- 0.0054  2.3441 +- 0.7679
   4    3  1568.2  4431.8   1.8116  2.0324  0.0577 0.1146 +- 0.0054  1.9867 +- 0.4069
   5    1  1528.0  4472.0   2.1669  2.0324  0.0423 0.1068 +- 0.0052  2.5237 +- 1.1660
   5    2  1574.9  4425.1   2.0684  2.0324  0.0470 0.1090 +- 0.0053  2.3204 +- 0.7882
   5    3  1569.5  4430.5   1.7253  2.0324  0.0582 0.1099 +- 0.0053  1.8882 +- 0.3314
   5    4  1570.8  4429.2   1.2695  2.0324  0.0632 0.0867 +- 0.0046  1.3718 +- 0.1302
   6    1  1520.3  4479.7   6.4499  2.0324  0.1847 1.0148 +- 0.0293  5.4950 +- 16.8946
   6    2  1457.1  4542.9   6.2045  2.0324  0.1793 0.9793 +- 0.0277  5.4631 +- 16.5402
   6    3  1449.5  4550.5   6.1889  2.0324  0.1797 0.9812 +- 0.0279  5.4592 +- 16.4971
   6    4  1421.3  4578.7   6.0470  2.0324  0.1747 0.9512 +- 0.0266  5.4445 +- 16.3364
   6    5  1453.4  4546.6   6.1677  2.0324  0.1771 0.9673 +- 0.0273  5.4612 +- 16.5193
   7    1  1512.4  4487.6   6.8568  2.0324  0.2195 1.2053 +- 0.0377  5.4911 +- 16.8510
   7    2  1451.5  4548.5   6.6150  2.0324  0.2136 1.1662 +- 0.0356  5.4603 +- 16.5085
   7    3  1444.5  4555.5   6.5723  2.0324  0.2117 1.1552 +- 0.0351  5.4566 +- 16.4687
   7    4  1418.1  4581.9   6.4250  2.0324  0.2058 1.1200 +- 0.0333  5.4428 +- 16.3176
   7    5  1448.6  4551.4   6.5679  2.0324  0.2104 1.1487 +- 0.0347  5.4588 +- 16.4922
   7    6   835.0  5165.0   4.3335  2.0324  0.1709 0.8623 +- 0.0233  5.0456 +- 12.5274
