seq. seq.     S       N        t   kappa   omega     dN +- SE    dS +- SE

   2    1  1527.0  4473.0   1.9654  1.9898  0.0433 0.0990 +- 0.0050  2.2844 +- 0.7385
   3    1  1522.4  4477.6   1.6879  1.9898  0.0523 0.1005 +- 0.0050  1.9218 +- 0.3624
   3    2  1568.1  4431.9   0.5420  1.9898  0.0647 0.0378 +- 0.0030  0.5844 +- 0.0301
   4    1  1528.1  4471.9   1.3735  1.9898  0.0723 0.1073 +- 0.0052  1.4837 +- 0.0884
   4    2  1569.2  4430.8   2.1936  1.9898  0.0468 0.1155 +- 0.0054  2.4696 +- 0.9872
   4    3  1563.5  4436.5   1.8541  1.9898  0.0559 0.1144 +- 0.0054  2.0472 +- 0.4591
   5    1  1523.9  4476.1   2.3032  1.9898  0.0394 0.1067 +- 0.0052  2.7094 +- 1.6972
   5    2  1570.3  4429.7   2.1613  1.9898  0.0445 0.1089 +- 0.0053  2.4456 +- 1.0139
   5    3  1564.9  4435.1   1.7584  1.9898  0.0567 0.1098 +- 0.0053  1.9361 +- 0.3647
   5    4  1566.1  4433.9   1.2795  1.9898  0.0624 0.0866 +- 0.0046  1.3887 +- 0.1347
   6    1  1543.3  4456.7   5.9764  1.9898  0.1408 0.7753 +- 0.0213  5.5063 +- 17.0218
   6    2  1480.0  4520.0   5.7958  1.9898  0.1410 0.7719 +- 0.0211  5.4748 +- 16.6693
   6    3  1472.2  4527.8   5.7492  1.9898  0.1390 0.7607 +- 0.0208  5.4709 +- 16.6256
   6    4  1445.0  4555.0   5.6570  1.9898  0.1379 0.7528 +- 0.0205  5.4569 +- 16.4715
   6    5  1476.9  4523.1   5.7513  1.9898  0.1381 0.7559 +- 0.0206  5.4733 +- 16.6522
   7    1  1513.0  4487.0   6.3372  1.9898  0.1772 0.9731 +- 0.0277  5.4914 +- 16.8539
   7    2  1450.7  4549.3   6.1064  1.9898  0.1728 0.9435 +- 0.0265  5.4598 +- 16.5039
   7    3  1443.2  4556.8   6.0797  1.9898  0.1724 0.9404 +- 0.0264  5.4560 +- 16.4613
   7    4  1416.5  4583.5   5.9361  1.9898  0.1669 0.9084 +- 0.0252  5.4420 +- 16.3086
   7    5  1447.6  4552.4   6.0512  1.9898  0.1691 0.9228 +- 0.0258  5.4583 +- 16.4865
   7    6   841.7  5158.3   4.0214  1.9898  0.1455 0.7349 +- 0.0191  5.0515 +- 12.5773
