focal_clade gene_set eqGC3_root eqGC3_focal eqGC3_sister actGC3_focal actGC3_sister omega_focal omega_sister dS_focal dS_sister dN_focal dN_sister eqDirectionA eqDirectionB eqDirectionC dS_focal_max dS_other_max dS_max 
Pseud_agarici HEG 0.74 0.61 0.68 0.711105313505522 0.742151491434038 0.040734701028 0.061496814517 0.242844 0.0708325 0.00989171 0.00452741 -1 -1 -1 0.242844 -Inf 0.299311 
Chryseobacterium_greg HEG 0.32 0.47 0.29 0.369694095328433 0.29244723737254 0.033791259603 0.034329495141 0.4868045 0.3750925 0.016128405 0.01495303 1 1 1 0.334064 -Inf 0.334064 
Ruegeria HEG 0.82 0.52 0.73 0.695936418407896 0.78630944750673 0.046882752335 0.045727623529 0.5160715 0.226586 0.024887975 0.0105317 -1 -1 -1 0.238703 -Inf 0.400563 
Sodalis1 HEG 0.63 0.31 0.5 0.551736835645023 0.623419663679882 0.148059132187 0.053932381973 0.161769 0.0339501 0.0239514 0.00222756 -1 -1 -1 0.161769 -Inf 0.440589 
Sodalis2 HEG 0.63 0.26 0.5 0.433533816128636 0.610899717687492 0.140868571819 0.053932381973 0.440589 0.0330775 0.0620666 0.00294818 -1 -1 -1 0.440589 -Inf 0.440589 
Hoeflea HEG 0.83 0.86 0.56 0.846440750213129 0.744192242114237 0.022783569163 0.044174215011 0.5647705 0.3725135 0.013038055 0.01815364 1 1 1 0.492376 -Inf 0.492376 
Pseudovibrio HEG 0.65 0.37 0.45 0.488277268093782 0.5605249745158 0.027592129267 0.052217400632 0.737049 0.39709 0.0203387 0.020031 -1 -1 -1 0.737049 -Inf 0.737049 
Paracoccus HEG 0.87 0.59 0.82 0.76962457337884 0.866751990898749 0.025115578656 0.028592630089 0.738449 0.3130383 0.0185484 0.008234985 -1 -1 -1 0.738449 -Inf 0.738449 
Prevotella HEG 0.53 0.65 0.26 0.616123778501629 0.442833876221498 0.033043100256 0.039519570544 0.7444585 0.4192009 0.023491065 0.01858594 1 1 1 0.457277 -Inf 0.7537 
Muricauda HEG 0.48 0.59 0.37 0.533751962323391 0.403881832453261 0.028822653811 0.028882845742 0.756746 1.062515 0.0218108 0.03031988 1 1 1 0.756746 -Inf 0.786702 
Novosphingobium HEG 0.86 0.52 0.75 0.700044111160124 0.828113512718718 0.042985743658 0.034608984292 0.820382 0.4693205 0.0352637 0.01612523 -1 -1 -1 0.820382 -Inf 0.820382 
Methylotenera HEG 0.42 0.46 0.28 0.43682440547682 0.354131635839539 0.031878700955 0.02609072301 0.832813 0.706752 0.0265497 0.01763499 1 1 1 0.832813 -Inf 0.921192 
Vibrio HEG 0.41 0.59 0.38 0.475652391060057 0.375827194406293 0.043698928253 0.037985972454 0.4150455 0.748572 0.01892522 0.0276807 1 1 1 0.270155 0.129484 1.00657 
Pseud_E HEG 0.78 0.42 0.63 0.610571628791671 0.772149364300731 0.027299068923 0.043246989566 1.00914 0.4149398 0.0275477 0.02228307 -1 -1 -1 1.00914 -Inf 1.00914 
Microbulbifer HEG 0.79 0.42 0.63 0.601740076128331 0.738499184339315 0.032464593794 0.033336984948 1.02039 0.3606765 0.033127 0.013713 -1 -1 -1 1.02039 -Inf 1.02039 
Bartonella HEG 0.23 0.46 0.32 0.370882403140468 0.253285543608124 0.043267468917 0.046182601601 0.788974 0.741074 0.034135 0.0367844 1 1 1 0.788974 1.22873E-06 1.10914 
Allorhizobium HEG 0.69 0.51 0.73 0.614503217705227 0.706404018207503 0.029190374832 0.037819642504 1.1475 0.6838515 0.0334937 0.0211894 -1 -1 -1 1.1475 0.481328 1.1475 
Ochrobactrum HEG 0.83 0.38 0.56 0.604585736390491 0.692994795329864 0.047946302594 0.047487665896 0.4300385 0.1115342 0.021411805 0.00443644 -1 -1 -1 0.318255 0.0301276 1.2614 
Flavo_fluvii HEG 0.26 0.6 0.23 0.299382326988529 0.240262195890584 0.001804416505 0.016353980288 1.32565 2.270926 0.00239259 0.0396676 1 1 1 1.32565 1.32565 1.32565 
Nitratireductor HEG 0.84 0.85 0.7 0.848870238863783 0.780632666236281 0.023729772722 0.026270618327 0.741134 0.648844 0.01854336 0.0167674 1 1 1 0.42424 0.491185 1.38657 
Erythrobacter1 HEG 0.9 0.51 0.7 0.66007950028393 0.774389551391255 0.01902793058 0.032817687916 1.36483 0.8611355 0.0259716 0.03008891 -1 -1 -1 1.36483 1.43506E-06 1.47043 
Erythrobacter2 HEG 0.9 0.52 0.7 0.650539466212379 0.766382737081204 0.023162743514 0.032817687916 1.47043 0.567551 0.0340585 0.0180564 -1 -1 -1 1.47043 1.43506E-06 1.47043 
