"GC" "CUB" "rna_bLength" "gSize" "IGRlength" "IGRpercentage" "pseudoFrac" "cDensity" "directionGC" "endoSymb_status" "CUB_log2" "rna_bLength_log2" "gSize_log2" "pseudoFrac_log2"
"Sphingomonadale_jump1" NA NA NA NA NA NA NA NA NA 0 NA NA NA NA
"Sphingomonadale_jump2" -20.88 0.972602739726027 NA 0.43 35 41 0.96551724137931 -4 -1 0 -0.0400774393753352 NA -1.21759143507263 -0.0506260730699681
"Sphingomonadale_jump3" -7.08 NA NA 0.95 NA NA NA 2 -1 0 NA NA -0.0740005814437769 NA
"Sphingomonadale_jump4" -10.26 1.56363636363636 NA 1.14 NA NA 0.294117647058824 0 -1 0 0.644905041177438 NA 0.189033824390017 -1.76553474636298
"Sphingomonadale_jump5" -4.81 0.719298245614035 3 0.94 10 13 1.1 0 -1 0 -0.475338009546658 1.58496250072116 -0.0892673380970874 0.137503523749935
"Sphingomonadale_jump6" -6.44 NA NA 0.85 NA NA NA 0 -1 0 NA NA -0.234465253637023 NA
"Sphingomonadale_jump7" -3.81 1.69230769230769 NA 0.86 -15 -17 0.0602409638554217 2 -1 0 0.758991900496205 NA -0.217591435072627 -4.05311133645956
"Sphingomonadale_jump8" 3.17 0.653333333333333 NA 0.94 1 1 NA 1 1 0 -0.614108846380673 NA -0.0892673380970874 NA
"Sphingomonadale_jump9" -4.5 0.678899082568807 1.88888888888889 0.98 1 1 0.666666666666667 0 -1 0 -0.558730959147977 0.917537839808027 -0.0291463456595165 -0.584962500721156
"Sphingomonadale_jump10" -3.6 0.675213675213675 2 1.1 11 15 2.14285714285714 0 -1 0 -0.566583971406301 1 0.137503523749935 1.09953567355091
"Sphingomonadale_jump11" -14.92 NA NA 0.93 NA NA NA 4 -1 0 NA NA -0.104697378666693 NA
"Rhizobiale_jump1" -6.91 NA NA 1.43 NA NA NA -1 -1 0 NA NA 0.516015147003665 NA
"Rhizobiale_jump2" -13.48 NA NA 0.56 NA NA NA -13 -1 0 NA NA -0.83650126771712 NA
"Rhizobiale_jump3" -4.69 1.19047619047619 0.88 1.07 28 22 1.16666666666667 -2 -1 0 0.251538766995964 -0.184424571137428 0.0976107966264223 0.222392421336448
"Rhizobiale_jump4" 7.59 1.15254237288136 NA 1.24 -14 -13 0.615384615384615 2 1 0 0.204819791888498 NA 0.31034012061215 -0.700439718141092
"Rhizobiale_jump5" -3.25 NA NA 0.36 NA NA NA 5.98999999999999 -1 0 NA NA -1.47393118833241 NA
"Rhizobiale_jump6" 5.94 0.797297297297297 0.25 0.62 30 26 3.08333333333333 -0.640000000000001 1 0 -0.326810316267109 -2 -0.689659879387849 1.62449086490779
"Rhizobiale_jump7" -7.51 1.20779220779221 NA 0.99 7 7 1.55555555555556 -2 -1 0 0.27237227041313 NA -0.0144995696951151 0.637429920615292
"Rhizobiale_jump8" -6.27 1.02752293577982 3.66666666666667 0.99 20 20 0.4 -2 -1 0 0.0391705972806778 1.87446911791614 -0.0144995696951151 -1.32192809488736
"Rhizobiale_jump9" -7.70999999999999 1.03896103896104 NA 0.97 21 21 NA -2 -1 0 0.0551415541924612 NA -0.0439433475875971 NA
"Rhizobiale_jump10" -9.62 1.40816326530612 NA 0.96 -15 -17 0.3 2 -1 0 0.493814612662961 NA -0.0588936890535686 -1.73696559416621
"Rhizobiale_jump11" -4.55 1.15625 1.6 0.62 -6 -6 0.75 3.19000000000001 -1 0 0.20945336562895 0.678071905112637 -0.689659879387849 -0.415037499278844
"Rhizobiale_jump12" -5.48999999999999 0.77027027027027 7.14285714285714 0.87 7 7 1 -1 -1 0 -0.376563351464208 2.83650126771712 -0.200912693925996 0
"Rhizobiale_jump13" 5.45999999999999 1 NA 0.92 -4 -4 1.05882352941176 0 1 0 0 NA -0.120294233717712 0.082462160191973
"Rhizobiale_jump14" -25.39 0.0404040404040404 4.5 0.21 39 35 1.73076923076923 -7.31 -1 1 -4.62935662007961 2.16992500144231 -2.25153876699596 0.791413378188582
"Rhizobiale_jump15" -3.39 1.22727272727273 0.75 0.95 -10 -9 0.59375 -1 -1 0 0.295455883526171 -0.415037499278844 -0.0740005814437769 -0.752072486556415
"Rhizobiale_jump16" -11.64 1.17708333333333 0.75 0.56 -34 -31 0.448275862068966 3.17 -1 0 0.235216461694031 -0.415037499278844 -0.83650126771712 -1.15754127698648
"Rhizobiale_jump17" -5.39 1.61728395061728 1.29032258064516 0.91 18 17 0.466666666666667 -2 -1 0 0.693572998652825 0.367731784500487 -0.136061549576028 -1.09953567355091
